20160109:2110,0.0,0.0,0.0,0.74,1.52,0.0
20160109:2210,0.0,0.0,0.0,0.65,1.38,0.0
20160109:2310,0.0,0.0,0.0,0.54,1.31,0.0
20160110:0010,0.0,0.0,0.0,0.38,1.1,0.0
20160110:0110,0.0,0.0,0.0,0.37,0.97,0.0
20160110:0210,0.0,0.0,0.0,0.31,0.83,0.0
20160110:0310,0.0,0.0,0.0,0.25,0.76,0.0
20160110:0410,0.0,0.0,0.0,0.19,0.69,0.0
20160110:0510,0.0,0.0,0.0,0.18,0.69,0.0
20160110:0610,0.0,0.0,0.0,0.24,0.9,0.0
20160110:0710,2.61,10.37,2.92,0.25,0.76,0.0
20160110:0810,411.68,421.61,10.08,0.59,0.9,0.0
20160110:0910,458.15,470.88,15.55,1.19,0.83,0.0
20160110:1010,258.29,268.56,18.9,2.22,0.62,0.0
20160110:1110,120.42,135.28,19.79,3.24,0.62,0.0
20160110:1210,426.87,442.65,18.13,3.95,1.1,0.0
20160110:1310,260.3,270.72,14.1,4.18,2.07,0.0
20160110:1410,33.18,47.52,8.08,4.13,2.41,0.0
20160110:1510,0.0,0.0,0.0,3.42,2.14,0.0
20160110:1610,0.0,0.0,0.0,2.68,2.14,0.0
20160110:1710,0.0,0.0,0.0,2.41,2.07,0.0
20160110:1810,0.0,0.0,0.0,2.17,2.21,0.0
20160110:1910,0.0,0.0,0.0,1.16,2.14,0.0
20160110:2010,0.0,0.0,0.0,1.39,2.41,0.0
20160110:2110,0.0,0.0,0.0,1.36,2.07,0.0
20160110:2210,0.0,0.0,0.0,1.3,2.0,0.0
20160110:2310,0.0,0.0,0.0,1.34,1.72,0.0
20160111:0010,0.0,0.0,0.0,1.33,1.59,0.0
20160111:0110,0.0,0.0,0.0,1.11,0.9,0.0
20160111:0210,0.0,0.0,0.0,0.92,1.1,0.0
20160111:0310,0.0,0.0,0.0,0.91,1.38,0.0
20160111:0410,0.0,0.0,0.0,0.83,1.38,0.0
20160111:0510,0.0,0.0,0.0,0.74,0.76,0.0
20160111:0610,0.0,0.0,0.0,0.5,0.0,0.0
20160111:0710,1.58,8.64,3.0,0.3,0.0,0.0
20160111:0810,110.4,123.33,10.17,1.08,1.52,0.0
20160111:0910,257.07,264.32,15.66,1.64,2.07,0.0
20160111:1010,41.68,56.15,19.03,2.35,2.69,0.0
20160111:1110,59.27,74.56,19.95,3.63,2.62,0.0
20160111:1210,133.76,148.92,18.3,5.76,2.48,0.0
20160111:1310,44.22,59.83,14.28,7.04,3.59,0.0
20160111:1410,4.66,13.82,8.25,7.8,3.38,0.0
20160111:1510,0.0,0.0,0.0,7.28,1.72,0.0
20160111:1610,0.0,0.0,0.0,5.99,2.21,0.0
20160111:1710,0.0,0.0,0.0,7.01,4.62,0.0
20160111:1810,0.0,0.0,0.0,6.82,5.17,0.0
20160111:1910,0.0,0.0,0.0,5.42,3.79,0.0
20160111:2010,0.0,0.0,0.0,5.8,5.03,0.0
20160111:2110,0.0,0.0,0.0,5.67,5.24,0.0
20160111:2210,0.0,0.0,0.0,5.76,5.31,0.0
20160111:2310,0.0,0.0,0.0,5.85,5.31,0.0
20160112:0010,0.0,0.0,0.0,5.81,5.24,0.0
20160112:0110,0.0,0.0,0.0,5.73,5.38,0.0
20160112:0210,0.0,0.0,0.0,5.66,5.86,0.0
20160112:0310,0.0,0.0,0.0,5.51,6.07,0.0
20160112:0410,0.0,0.0,0.0,5.17,5.66,0.0
20160112:0510,0.0,0.0,0.0,4.72,5.03,0.0
20160112:0610,0.0,0.0,0.0,4.12,4.28,0.0
20160112:0710,0.0,0.0,0.0,4.28,4.07,0.0
20160112:0810,490.18,502.88,10.27,5.06,4.14,0.0
20160112:0910,668.47,698.89,15.79,6.42,4.21,0.0
20160112:1010,656.64,696.25,19.18,7.77,3.38,0.0
20160112:1110,223.72,238.2,20.11,8.63,4.55,0.0
20160112:1210,579.74,599.41,18.48,8.64,6.07,0.0
20160112:1310,588.09,604.99,14.46,7.77,6.55,0.0
20160112:1410,36.77,51.84,8.44,7.07,6.41,0.0
20160112:1510,0.0,0.0,0.0,6.03,5.38,0.0
20160112:1610,0.0,0.0,0.0,5.01,4.69,0.0
20160112:1710,0.0,0.0,0.0,4.38,4.34,0.0
20160112:1810,0.0,0.0,0.0,4.06,4.48,0.0
20160112:1910,0.0,0.0,0.0,4.11,5.1,0.0
20160112:2010,0.0,0.0,0.0,3.91,4.9,0.0
20160112:2110,0.0,0.0,0.0,3.75,4.69,0.0
20160112:2210,0.0,0.0,0.0,3.57,4.76,0.0
20160112:2310,0.0,0.0,0.0,3.52,4.9,0.0
20160113:0010,0.0,0.0,0.0,3.65,5.31,0.0
20160113:0110,0.0,0.0,0.0,3.77,5.72,0.0
20160113:0210,0.0,0.0,0.0,3.81,5.52,0.0
20160113:0310,0.0,0.0,0.0,3.52,5.24,0.0
20160113:0410,0.0,0.0,0.0,3.21,5.1,0.0
20160113:0510,0.0,0.0,0.0,3.02,5.1,0.0
20160113:0610,0.0,0.0,0.0,2.8,5.24,0.0
20160113:0710,3.09,11.23,3.17,3.29,4.97,0.0
20160113:0810,183.96,194.41,10.38,3.92,5.31,0.0
20160113:0910,637.17,653.54,15.92,4.86,5.1,0.0
20160113:1010,695.36,718.89,19.33,5.65,5.45,0.0
20160113:1110,171.45,185.08,20.28,6.53,6.14,0.0
20160113:1210,224.34,235.52,18.66,6.75,6.97,0.0
20160113:1310,484.85,491.62,14.65,5.82,6.62,0.0
20160113:1410,22.12,35.42,8.62,5.24,9.17,0.0
20160113:1510,0.0,0.0,0.0,4.81,8.28,0.0
20160113:1610,0.0,0.0,0.0,4.36,8.14,0.0
20160113:1710,0.0,0.0,0.0,4.3,8.14,0.0
20160113:1810,0.0,0.0,0.0,4.17,8.07,0.0
20160113:1910,0.0,0.0,0.0,4.29,7.72,0.0
20160113:2010,0.0,0.0,0.0,4.02,7.45,0.0
20160113:2110,0.0,0.0,0.0,3.6,7.38,0.0
20160113:2210,0.0,0.0,0.0,3.34,7.1,0.0
20160113:2310,0.0,0.0,0.0,3.05,6.41,0.0
20160114:0010,0.0,0.0,0.0,2.62,5.52,0.0
20160114:0110,0.0,0.0,0.0,2.39,4.69,0.0
20160114:0210,0.0,0.0,0.0,2.52,4.14,0.0
20160114:0310,0.0,0.0,0.0,2.29,3.93,0.0
20160114:0410,0.0,0.0,0.0,2.36,3.79,0.0
20160114:0510,0.0,0.0,0.0,1.93,3.66,0.0
20160114:0610,0.0,0.0,0.0,1.5,3.52,0.0
20160114:0710,5.48,14.69,3.26,1.09,3.24,0.0
20160114:0810,97.45,110.9,10.49,1.61,3.1,0.0
20160114:0910,588.47,608.08,16.05,2.91,2.55,0.0
20160114:1010,740.8,793.05,19.49,4.19,2.28,0.0
20160114:1110,744.63,813.94,20.45,5.12,1.45,0.0
20160114:1210,716.48,774.13,18.85,5.73,1.93,0.0
20160114:1310,568.8,590.74,14.84,5.97,3.59,0.0
20160114:1410,21.29,34.56,8.82,5.56,4.07,0.0
20160114:1510,0.0,0.0,0.0,4.37,4.55,0.0
20160114:1610,0.0,0.0,0.0,3.35,4.9,0.0
20160114:1710,0.0,0.0,0.0,2.78,4.97,0.0
20160114:1810,0.0,0.0,0.0,2.05,4.62,0.0
20160114:1910,0.0,0.0,0.0,2.13,3.86,0.0
20160114:2010,0.0,0.0,0.0,1.65,3.03,0.0
20160114:2110,0.0,0.0,0.0,0.98,2.28,0.0
20160114:2210,0.0,0.0,0.0,-0.12,1.59,0.0
20160114:2310,0.0,0.0,0.0,0.13,1.03,0.0
20160115:0010,0.0,0.0,0.0,-0.99,1.45,0.0
